Date,Time,PM2.5 particulate matter (Hourly measured),Status
17/1/2024,7:00:00,2.712,V ugm-3 (Ref.eq)
17/1/2024,8:00:00,3.892,V ugm-3 (Ref.eq)
17/1/2024,9:00:00,7.406,V ugm-3 (Ref.eq)
17/1/2024,10:00:00,6.769,V ugm-3 (Ref.eq)
17/1/2024,11:00:00,6.533,V ugm-3 (Ref.eq)
17/1/2024,12:00:00,7.264,V ugm-3 (Ref.eq)
17/1/2024,13:00:00,4.41,V ugm-3 (Ref.eq)
17/1/2024,14:00:00,4.953,V ugm-3 (Ref.eq)
17/1/2024,15:00:00,6.462,V ugm-3 (Ref.eq)
17/1/2024,16:00:00,7.854,V ugm-3 (Ref.eq)
17/1/2024,17:00:00,9.929,V ugm-3 (Ref.eq)
17/1/2024,18:00:00,11.745,V ugm-3 (Ref.eq)
17/1/2024,19:00:00,8.255,V ugm-3 (Ref.eq)
17/1/2024,20:00:00,7.123,V ugm-3 (Ref.eq)
17/1/2024,21:00:00,8.255,V ugm-3 (Ref.eq)
17/1/2024,22:00:00,5.873,V ugm-3 (Ref.eq)
17/1/2024,23:00:00,4.693,V ugm-3 (Ref.eq)
17/1/2024,24:00:00,5.377,V ugm-3 (Ref.eq)
18/1/2024,1:00:00,2.972,V ugm-3 (Ref.eq)
18/1/2024,2:00:00,2.17,V ugm-3 (Ref.eq)
18/1/2024,3:00:00,1.651,V ugm-3 (Ref.eq)
18/1/2024,4:00:00,1.863,V ugm-3 (Ref.eq)
18/1/2024,5:00:00,1.722,V ugm-3 (Ref.eq)
18/1/2024,6:00:00,1.203,V ugm-3 (Ref.eq)
18/1/2024,7:00:00,1.368,V ugm-3 (Ref.eq)
18/1/2024,8:00:00,1.58,V ugm-3 (Ref.eq)
18/1/2024,9:00:00,2.642,V ugm-3 (Ref.eq)
18/1/2024,10:00:00,3.868,V ugm-3 (Ref.eq)
18/1/2024,11:00:00,3.42,V ugm-3 (Ref.eq)
